"Name","Marke","Kollektion","Zielgruppe","Oberkategorie","Typ","Stoffart","Größe","Format","Status","Link","Bild","Notizen"
"Anni Bodice","Gertie Patreon","Hollywood Icons","Damen","Oberteil","Top","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","Gefüttertes Mieder, eckiger Ausschnitt, 2 Ärmellängen oder ärmellos. Kombination mit Stanwyck-Röcken."
"Audrey Cigarette Pants","Gertie Patreon","","Damen","Unterteil","Hose","Jersey","2-20 / 18-34","PDF","Vorhanden","","","Knöchellang oder Capri. Stretch-Stoff mit ca. 50% Stretch. Empfohlen: Ponte, Stretch-Bengaline, Stretch-Velour."
"Aurora Bodice","Gertie Patreon","Stanwyck Series","Damen","Oberteil","Top","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","Mieder mit optionalem Schnüroverlay, Peplum, Cap- oder Puffärmel. Mix & Match mit Stanwyck-Serie."
"Barbara Bodice","Gertie Patreon","Lamour Series","Damen","Oberteil","Top","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","Prinzessnähte, runder Ausschnitt, 2 Trägeroptionen (Bindebänder oder breite Träger). Mix & Match Lamour-Serie."
"Barbie Top","Gertie Patreon","","Damen","Oberteil","Top","Jersey","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","Mock-Rollkragen, 4 Ärmellängen (ärmellos, kurz, 3/4, lang). Stretch-Stoff mit 50% Dehnung empfohlen."
"Bathing Beauty","Gertie Patreon","Hollywood Icons","Damen","Lingerie","Badeanzug","Jersey","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","Badeanzug mit Halterträgern, opt. Rüschenoverlay, opt. eingenähter BH. 4-Wege-Stretch-Badeanzugstoff erforderlich. Hollywood Icons-Kollektion."
"Boardwalk Sundress","Gertie Patreon","","Damen","Kleid","Kleid","","","PDF","Vorhanden","","",""
"Brooklyn Jacket","Gertie Patreon","Charm Artist Collective","Damen","Oberteil","Jacke","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","Vollgefütterte taillierte Jacke in zwei Längen (Crop/Taillenlang) und zwei Ärmeloptionen (Kappe/3/4-Ärmel). Optional Brusttasche mit Einstecktuch. Empfohlen: Denim, Cord, Leinen, Wollstoffe, Seidenmatka."
"Carousel Dress","Gertie Patreon","Charm Artist Collective","Damen","Kleid","Kleid","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","A-Linie-Kleid mit optionalem Rüschenvolant, Paspelierung und Schleifen. Empfohlen: Baumwoll-Satin, Popeline, Seersucker, Chambray, Leinen; für mehr Glamour Taft oder Dupioni. Optional Tüll für Volant."
"Charlotte Beret","Gertie Patreon","Charm Artist Collective","Damen","Accessoires","Mütze","Webware/Strick","S/M/L","PDF","Vorhanden","","","Vintage-Baskenmütze mit Dart und geformter Krempe für charakteristisch geneigten Look. Optional Schleier und Samtschleife. Empfohlen: Kochwolle, Tweed, Mohair, Wollfilz, Baumwollsamt."
"Charm Sash","Gertie Patreon","","Damen","Accessoires","Gürtel","","","PDF","Vorhanden","","",""
"Chess Club Trousers","Gertie Patreon","Charm School","Damen","Unterteil","Hose","Stretch-Webware","2-20 / 18-34","PDF","Vorhanden","","","Eng anliegende Knöchelhose mit Seitenreißverschluss und Hüfttaschen mit Taschenstay für glatten Vorderbereich. Empfohlen: Stretch-Twill, Stretch-Denim, Stretch-Wollstoffe (ca. 3% Spandex/Lycra)."
"Claudette Skirt","Gertie Patreon","Society of Charm","Damen","Unterteil","Rock","Jersey","2-20 / 18-34","PDF","Vorhanden","","","Knie- oder bodenlang, 40er-Drapierung vorne, Teilgummibund. Empfohlen: Ponte, Interlock, Jersey mit 50–75% Dehnung."
"Cobbler Dress and Set","Gertie Patreon","Camp Gertie","Damen","Kleid","Kleid","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","Tunika-Kleid oder Top inspiriert von 50er-Jahre Cobbler-Schürzen. Optional Rüschen an Prinzessnähten, kombinierbar mit Capri-Hose. Empfohlen: Popeline, Batist, Chambray, Leinen."
"Dandridge Skirt","Gertie Patreon","Camp Gertie","Damen","Unterteil","Rock","Webware (drapierend)","2-20 / 18-34","PDF","Vorhanden","","","Knie- oder bodenlanger Rock mit 40er-Drapierung, Messerfalten, optionalem Hüftdrape. Kombinierbar mit Lamour-, Liz-, Landis- oder Mariner-Mieder. Empfohlen: Viskose-Challis, Woll-Krepp, Seide/Charmeuse."
"Dandy Waistcoat","Gertie Patreon","Charm Artist Collective","Unisex","Oberteil","Weste","Webware","XS-5XL","PDF","Vorhanden","","","Vollgefütterte Unisex-Weste im 30er-Jahre-Stil mit Paspeltaschen und einstellbarem Taillenriemen hinten. Empfohlen: Twill, Cord, Leinen, Wollstoffe, Brokate."
"Drama Club Cape","Gertie Patreon","","Damen","Oberteil","Jacke","","","PDF","Vorhanden","","",""
"Elizabeth Caftan","Gertie Patreon","","Damen","Kleid","Kleid","","","PDF","Vorhanden","","",""
"Elsa Culottes","Gertie Patreon","","Damen","Unterteil","Hose","","","PDF","Vorhanden","","",""
"Extra Credit Wrap Top","Gertie Patreon","","Damen","Oberteil","Top","","","PDF","Vorhanden","","",""
"Field Trip Backpack","Gertie Patreon","","Damen","Taschen","Rucksack","","","PDF","Vorhanden","","",""
"Final Exam Blazer","Gertie Patreon","","Damen","Oberteil","Jacke","","","PDF","Vorhanden","","",""
"Francie Top","Gertie Patreon","","Damen","Oberteil","Top","","","PDF","Vorhanden","","",""
"Frenchy Peignoir","Gertie Patreon","","Damen","Lingerie","Nachthemd","","","PDF","Vorhanden","","",""
"Gardner Top","Gertie Patreon","","Damen","Oberteil","Top","","","PDF","Vorhanden","","",""
"Gina Bustier","Gertie Patreon","","Damen","Lingerie","BH","","","PDF","Vorhanden","","",""
"Ginger Sailor Pants","Gertie Patreon","","Damen","Unterteil","Hose","","","PDF","Vorhanden","","",""
"Grace Bodice","Gertie Patreon","","Damen","Oberteil","Top","","","PDF","Vorhanden","","",""
"Hollywood Dress","Gertie Patreon","Hollywood Icons","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Homecoming Skirt","Gertie Patreon","","Damen","Unterteil","Rock","","2-20 / 18-34","PDF","Vorhanden","","",""
"Honor Roll Top","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","",""
"Ingrid Skirt","Gertie Patreon","Stanwyck Series","Damen","Unterteil","Rock","Webware","2-20 / 18-34","PDF","Vorhanden","","",""
"Jane Set","Gertie Patreon","","Damen","Einteiler","Jumpsuit/Playsuit/Separates","Stretch-Webware","2-16 (B/C/D/DD Cup)","PDF","Vorhanden","","","50er-Jahre-Multi-Pattern (48 Outfits): Jumpsuit, Playsuit (opt. Sarong-Drape), separate Capri-Hose, Shorts und Bustier mit Shirred Back. Eingebauter BH mit Spiralstäbchen. Inspiriert von Ceeb of Miami / Jane Russell. Stretch-Webware mind. 25% Dehnung. Bustier auch in Non-Stretch möglich."
"Jasmin Jumpsuit","Gertie Patreon","","Damen","Einteiler","Jumpsuit","","2-20 / 18-34","PDF","Vorhanden","","",""
"Jeanne Gloves","Gertie Patreon","","Damen","Accessoires","Handschuhe","","2-20 / 18-34","PDF","Vorhanden","","",""
"Joan Wiggle Dress","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Judy Vest","Gertie Patreon","Camp Gertie","Damen","Oberteil","Weste","Jersey (stabil)","2-20 / 18-34","PDF","Vorhanden","","","Ärmellose Weste inspiriert von White Christmas. Stabile Strickware: Ponte, Doppelstrick, Wollwalk, Interlock — 15–25% Dehnung quer, wenig Dehnung längs. Kombinierbar mit Barbie Top (Rollkragen-Variante) und Double Circle Skirt."
"Katherine Skirt","Gertie Patreon","","Damen","Unterteil","Rock","","2-20 / 18-34","PDF","Vorhanden","","",""
"Lady Dandy Waistcoat","Gertie Patreon","Charm Artist Collective","Damen","Oberteil","Weste","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","Vollgefütterte taillierte Damen-Weste im 30er-Jahre-Stil mit Paspeltaschen und einstellbarem Taillenriemen hinten. Empfohlen: Twill, Cord, Leinen, Wollstoffe, Brokate."
"Landis Bodice","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","",""
"Las Vegas Halter Top","Gertie Patreon","Charm Artist Collective","Damen","Oberteil","Top","Webware (leicht bis mittelschwer), Kunstleder/Pleather","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","Haltertop mit Herzausschnitt, opt. Kragen und Peplum. Separating-Reißverschluss hinten. Kombinierbar mit Loretta Shorts (Jumpsuit) oder Circle Skirt (Kleid). Empfohlen: Pleather, Sateen, Chambray, Leinen. Kein Strick."
"Lisa Bodice","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","",""
"Lizabeth Raglan Top","Gertie Patreon","","Damen","Oberteil","Shirt","Jersey","2-20 / 18-34","PDF","Vorhanden","","",""
"Loretta Shorts","Gertie Patreon","Lamour Series","Damen","Unterteil","Shorts","","2-20 / 18-34","PDF","Vorhanden","","",""
"Lucille Trousers","Gertie Patreon","Camp Gertie","Damen","Unterteil","Hose","Webware (leicht bis mittelschwer, mit Drape)","2-20 / 18-34","PDF","Vorhanden","","","40er-Jahre-Stil. Faltenfront, weit geschnittenes Bein mit Aufschlag, schräge Taschen. Wahlweise geschwungenes (mit Seitendarts) oder gerades Bund. Auch als Shorts. Kombinierbar mit Stanwyck Skirt Bib (Latzhose) oder Stanwyck Bodice (Jumpsuit). Empfohlen: Wollflanel, Krepp, Doppelkrepp, Gabardine, Tencel-Twill, Seiden-Twill, Leinen, leichter Denim."
"Make Do and Mend Overalls","Gertie Patreon","Institute of Style","Damen","Einteiler","Latzhose","Webware (leicht bis mittelschwer)","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","40er-Jahre-Latzhose, inspiriert von Kriegszeit-Utility-Mode. Gesmoktes elastisches Rückteil, verstellbare Träger, gefüttertes Oberteil, seitliche Knopfleiste, weites Hosenbein mit Aufschlag, Vorder- und Rückentaschen. Auch als Shorts kürzbar. Empfohlen: Baumwolle, Tencel-Twill, Leinen. Kein Strick."
"Maria Pencil Skirt","Gertie Patreon","","Damen","Unterteil","Rock","","2-20 / 18-34","PDF","Vorhanden","","",""
"Mariner Top","Gertie Patreon","","Damen","Oberteil","Top","Jersey","2-20 / 18-34","PDF","Vorhanden","","",""
"Marlene Blouse","Gertie Patreon","Hollywood Icons","Damen","Oberteil","Bluse","Webware (leicht)","2-20 / 18-34","PDF","Vorhanden","","","40er-Jahre Bluse mit Knopfleiste und Puffärmel (kurz oder lang). Optionale Brusttaschen. Raffungen und Falten vorne für optimale Büstenpassform, kein Klaffen. Blusig an der Taille, einzustecken oder locker zu tragen. Empfohlen: Viskose-Challis, Lawn, Batist, Popeline, Sateen, Crêpe de Chine."
"Midge Breton Shirt","Gertie Patreon","","Damen","Oberteil","Shirt","","2-20 / 18-34","PDF","Vorhanden","","",""
"Millicent Dress","Gertie Patreon","Lamour Series","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"MJC Holiday Skirt","Gertie Patreon","","Damen","Unterteil","Rock","","2-20 / 18-34","PDF","Vorhanden","","",""
"Niagara Bodice","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","",""
"Night and Day Dress","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Norma Turban","Gertie Patreon","","Damen","Accessoires","Mütze","","2-20 / 18-34","PDF","Vorhanden","","",""
"Patsy Blouse","Charm Patterns","","Damen","Oberteil","Bluse","Webware (leicht bis mittelschwer)","2-20 (A-H Cup)","PDF","Vorhanden","","","55 Varianten: 5 Ärmeloptionen (kurz, lang, Ballon, ärmellos, Western-Overlay), 2 Kragen (Stehkragen/Kragen mit Stand), opt. Passe und Tasche. Vintage-Passform mit separaten Cup-Größen. Inspiriert von Patsy Cline. Retail-Muster (CP114), kein Patreon-Exclusive."
"Patsy Sleeve and Necktie","Gertie Patreon","","Damen","Accessoires","","","2-20 / 18-34","PDF","Vorhanden","","",""
"Peggy Bodice","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","",""
"Pep Rally Skirt","Gertie Patreon","","Damen","Unterteil","Rock","","2-20 / 18-34","PDF","Vorhanden","","",""
"Peter Pan Bolero","Gertie Patreon","","Damen","Oberteil","Jacke","","2-20 / 18-34","PDF","Vorhanden","","",""
"Picnic Top","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","",""
"Presley Shirt","Gertie Patreon","","Damen","Oberteil","Shirt","","2-20 / 18-34","PDF","Vorhanden","","",""
"Pride Caftan","Gertie Patreon","","Damen","Kleid","Kleid","Jersey","2-20 / 18-34","PDF","Vorhanden","","",""
"Rizzo Jacket","Gertie Patreon","","Damen","Oberteil","Jacke","","2-20 / 18-34","PDF","Vorhanden","","",""
"Sabrina Bodice","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","",""
"Scarlet Gown","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Scout Capelet","Gertie Patreon","","Damen","Oberteil","Jacke","","2-20 / 18-34","PDF","Vorhanden","","",""
"Scout Dress","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Secrets Clutch","Gertie Patreon","","Damen","Taschen","Clutch","","2-20 / 18-34","PDF","Vorhanden","","",""
"Shelley Purse","Gertie Patreon","","Damen","Taschen","Shopper","","2-20 / 18-34","PDF","Vorhanden","","",""
"Skipper Dress and Bodysuit","Gertie Patreon","","Damen","Einteiler","Overall","","2-20 / 18-34","PDF","Vorhanden","","",""
"Society Dress","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Sophia Dress","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Souvenir Top","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","",""
"Stanwyck Skirt","Gertie Patreon","Stanwyck Series","Damen","Unterteil","Rock","Webware","2-20 / 18-34","PDF","Vorhanden","","",""
"Study Hall Dress","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Summer vacation pants","Gertie Patreon","","Damen","Unterteil","Hose","","2-20 / 18-34","PDF","Vorhanden","","",""
"Sweetheart Slip","Gertie Patreon","","Damen","Lingerie","Unterwäsche","","2-20 / 18-34","PDF","Vorhanden","","",""
"Swing Coat","Gertie Patreon","","Damen","Oberteil","Mantel","Webware","2-20 / 18-34","PDF","Vorhanden","","",""
"Turner Cardigan","Gertie Patreon","","Damen","Oberteil","Jacke","Strick","2-20 / 18-34","PDF","Vorhanden","","",""
"Uniform Dress","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Valedictorian Bow and Tie","Gertie Patreon","","Damen","Accessoires","Gürtel","","2-20 / 18-34","PDF","Vorhanden","","",""
"Vargas Panties","Gertie Patreon","","Damen","Lingerie","Slip","","2-20 / 18-34","PDF","Vorhanden","","",""
"Varsity Gym Shorts","Gertie Patreon","","Damen","Unterteil","Shorts","Jersey","2-20 / 18-34","PDF","Vorhanden","","",""
"Varsity Sweatshirt","Gertie Patreon","","Damen","Oberteil","Sweatshirt","Jersey","2-20 / 18-34","PDF","Vorhanden","","",""
"Wanda Skirt","Gertie Patreon","Lamour Series","Damen","Unterteil","Rock","","2-20 / 18-34","PDF","Vorhanden","","",""
"Waspie Corset Belt","Gertie Patreon","","Damen","Accessoires","Gürtel","","2-20 / 18-34","PDF","Vorhanden","","",""
